data,ciutat,categoria,import
2024-11-04,Barcelona,Roba,74.07
2024-02-22,Girona,Esport,213.85
2024-01-03,Madrid,Esport,282.82
2024-12-21,Saragossa,Llar,296.69
2024-01-25,"Barcelona, ES",Llibres,142.55
2024-04-25,Madrid,Electrònica,182.69
2024-06-20,Madrid,Electrònica,270.43
2024-07-03,Sevilla,Joguines,443.3
2024-06-19,Barcelona,Electrònica,NA
2024-04-25,Madrid,Electrònica,433.91
2024-07-09,València,Joguines,188.24
2024-04-22,Madrid,Llibres,306.52
2024-03-18,Saragossa,Alimentació,138.62
2024-11-23,Sevilla,Llibres,385.32
2024-01-08,Málaga,Joguines,137.53
2024-04-19,Málaga,Roba,252.12
2024-11-15,Barcelona,Alimentació,282.88
2024-05-24,Sevilla,Esport,113.56
2024-03-17,València,Joguines,NA
2024-02-05,Bilbao,Joguines,300.22
2024-07-13,Sevilla,Llar,485.68
2024-01-22,Saragossa,Llibres,376.68
2024-11-11,Barcelona,Llar,6.61
2024-12-24,Madrid,Esport,256.3
2024-02-28,Bilbao,Joguines,306.44
2024-03-12,Girona,Esport,461.6
2024-01-20,Madrid,Electrònica,184.68
2024-05-08,Barcelona,Esport,47.4
2024-08-27,Barcelona,Joguines,67.25
2024-11-16,Alacant,Alimentació,436.85
2024-07-07,Alacant,Joguines,104.57
2024-05-13,Alacant,Llibres,450.31
2024-08-04,Madrid,Electrònica,296.21
2024-04-19,Madrid,Electrònica,34.14
2024-02-02,Málaga,Electrònica,142.85
2024-08-07,Sevilla,Llibres,287.67
2024-08-08,"Barcelona, ES",Joguines,51.69
2024-11-14,Madrid,Llar,365.89
2024-11-21,Alacant,Electrònica,365.47
2024-02-08,Barcelona,Esport,213.83
2024-05-15,Madrid,Electrònica,431.37
2024-09-04,Barcelona,Esport,484.65
2024-04-06,València,Llar,203.51
2024-01-06,Madrid,Llar,393.11
2024-08-10,València,Llibres,280.11
2024-12-16,Barcelona,Roba,33.95
2024-12-18,Barcelona,Roba,NA
2024-10-16,València,Joguines,33.16
2024-09-03,Málaga,Electrònica,339.23
2024-04-13,Barcelona,Esport,299.29
2024-10-03,València,Esport,161.6
2024-05-07,Bilbao,Roba,200.91
2024-11-21,Madrid,Roba,468.19
2024-01-15,Bilbao,Esport,41.26
2024-04-17,Madrid,Roba,440.24
